"target","layer","title","citation.2012n","X","citation.2013a","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","ingest","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"resilience","mariculture","Convention on Biological Diversity (CBD) survey","mariculture","7.14",,"resilience score",,"2012a","parent",,"disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/r_mariculture.csv', csv.out ='/Volumes/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_mariculture_2013a.csv', fld.value=NA, weight.csv=NA)","N",,"model/GL-NCEAS-Resilience_v2013a/data","r_mariculture_2013a.csv","model/GL-NCEAS-Resilience_v2013a/data","r_mariculture_2013a.csv",TRUE,"r_mariculture.csv","region_id",,,,"resilience_score",
"resilience","msi_gov","Mariculture Sustainability Index (MSI): sustainability and regulations","resilience score","7.3",,"resilience score",,"2012a","parent",,"disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/r_msi_gov.csv', csv.out ='/Volumes/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_msi_gov_2013a.csv', fld.value=NA, weight.csv=NA)","N","only 63 unique rgn_2012nature; so only 80 unique in rgns for 2012a and 2013a","model/GL-NCEAS-Resilience_v2013a/data","r_msi_gov_2013a.csv","model/GL-NCEAS-Resilience_v2013a/data","r_msi_gov_2013a.csv",TRUE,"r_msi_gov.csv","region_id",,,,"resilience_score",
"resilience","species_diversity","Ecological integrity","EEZ","7.18",,"score",,"new","new","(same as SPP status score)","disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/r_species_diversity.csv', csv.out ='/Volumes/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_species_diversity_2013a.csv', fld.value=NA, weight.csv=NA)","N",,"model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_2012.csv","model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_2013.csv",TRUE,"r_species_diversity.csv","region_id",,,,"resilience_score",
"resilience","species_diversity_3nm","Ecological integrity","coastal","7.18",,"score",,"new","new","(same as SPP score - clip to 3nm if time left nxt week)","disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/r_species_diversity_3nm.csv', csv.out ='/Volumes/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_species_diversity_3nm_2013a.csv', fld.value=NA, weight.csv=NA)","N",,"model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_offshore3nm_2013.csv","model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_offshore3nm_2013.csv",TRUE,"r_species_diversity_3nm.csv","region_id",,,,"resilience_score",
"resilience","tourism","Convention on Biological Diversity (CBD) survey","tourism","7.14",,"resilience score",,"2012a","parent",,"disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/r_tourism.csv', csv.out ='/Volumes/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_tourism_2013a.csv', fld.value=NA, weight.csv=NA)","N",,"model/GL-NCEAS-Resilience_v2013a/data","r_tourism_2013a.csv","model/GL-NCEAS-Resilience_v2013a/data","r_tourism_2013a.csv",TRUE,"r_tourism.csv","region_id",,,,"resilience_score",
"resilience","water","Convention on Biological Diversity (CBD) survey","water","7.14",,"resilience score",,"2012a","parent",,"disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/r_water.csv', csv.out ='/Volumes/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_water_2013a.csv', fld.value=NA, weight.csv=NA)","N",,"model/GL-NCEAS-Resilience_v2013a/data","r_water_2013a.csv","model/GL-NCEAS-Resilience_v2013a/data","r_water_2013a.csv",TRUE,"r_water.csv","region_id",,,,"resilience_score",
"resilience","wgi_all","Worldwide Governance Indicators (WGI)","resilience score","7.7",,"score",,,"parent","2012a: parent; 2013a: soverignty gapfilling","NA (updated data)","Y","convert from WGI score: min=-2.49, max=1.98","model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2012a_rescaled.csv","model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_rescaled.csv",TRUE,"r_wgi_all.csv","region_id",,,,"resilience_score",
"SPP","rn_spp_status","Status of species extinction risk",,"6J",,"score",,,"new",,,,,"model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_2012.csv","model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_2013.csv",TRUE,,,,,,,
"SPP","rn_spp_trend","Trend in species extinction risk",,"6J",,"score",,,"new",,,,,"model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_trend_2012.csv","model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_trend_2013.csv",TRUE,,,,,,,
"TR","rn_tr_status","TR status",,"6G",,"status",,,"new",,,,,"model/GL-NCEAS-TR_v2013a/data","TourRec_Status_2012a_Sep23b.csv","model/GL-NCEAS-TR_v2013a/data","TourRec_Status_2013a_Sep23b.csv",TRUE,,,,,,,
"TR","rn_tr_trend","TR trend",,"6G",,"trend",,,"new",,,,,"model/GL-NCEAS-TR_v2013a/data","TourRec_Trend_2012a_Sep23b.csv","model/GL-NCEAS-TR_v2013a/data","TourRec_Trend_2013a_Sep23b.csv",TRUE,,,,,,,
